text,crowd_label,conf0,conf1,conf2,conf3,conf4
rt mention_ bill nye mention_ screw deflateg give fuck climatechang instead url_ u_,2,0.0,0.0,1.0,0.0,0.0
rt mention_ former belichick scout ubil alway work edg cross edg deflateg url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ deflateg media upset marshawn lynch done noth kill lot excit lead su_,0,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.08332500000000001
rt mention_ still talk deflateg not simpli believ preciou face tomocchio superbowlxlix url_,2,0.0,0.0,1.0,0.0,0.0
rt mention_ wwe 's mention_ mention_ mention_ advic mention_ latest mention_ url_ deu_,0,0.6924,0.0769,0.0769,0.0769,0.0769
rt mention_ tombradi car last night deflateg mention_ superbowlxlix url_,1,0.08635000000000001,0.6546,0.08635000000000001,0.08635000000000001,0.08635000000000001
deflateg troll continu url_,1,0.0965,0.614,0.0965,0.0965,0.0965
rt mention_ gladiat super bowl olivia tom bradi fitz richard sherman cytron deflategatu_,1,0.08682500000000001,0.6527,0.08682500000000001,0.08682500000000001,0.08682500000000001
rt mention_ mention_ mention_ patriot cheat boom boycottthesuperbowl cheaterbowl deflateg shadybradi shrinkag,3,0.0,0.0,0.0,1.0,0.0
mention_ mention_ patriot footbal deflateg cheaterbowl boycottthesuperbowl shadybradi shrinkag,3,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.6667,0.08332500000000001
rt mention_ win lose must alway cheat patriot deflateg,3,0.0,0.0,0.0,1.0,0.0
bill nye say 'give f**k climat chang forget deflateg url_ mention_ mention_ mention_,2,0.08065,0.08065,0.6774,0.08065,0.08065
icymi bill nye break scienc deflateg url_ url_,0,0.6746,0.08135,0.08135,0.08135,0.08135
blow patriot deflateg twitter hate liter pumpupthepat url_,0,0.6795,0.080125,0.080125,0.080125,0.080125
rt mention_ funni austinmn mention_ deflateg url_,1,0.0759,0.6964,0.0759,0.0759,0.0759
rt mention_ patriot under-infl footbal affect gameplay computer-simul deflateg url_ url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ kati perri say noth perform deflated. ... mention_ superbowlxlix deflateg url_,1,0.08962500000000001,0.6415,0.08962500000000001,0.08962500000000001,0.08962500000000001
superbowlxlix half time certain kati perri 's balloon fulli inflat deflateg url_,1,0.0,1.0,0.0,0.0,0.0
rt mention_ biggest deflateg storylin robert kraft vs. richard sherman url_,0,0.66,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999
uimention_ former belichick scout ubil alway work edg cross edg deflateg url_,0,0.6724,0.0819,0.0819,0.0819,0.0819
deflateg got heat cop mention_ piec show support hockey url_ url_,0,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.08332500000000001
rt mention_ end zephyr uimention_ ref not log psi huh hmm pleas let merci end deflategu_,2,0.083425,0.083425,0.6663,0.083425,0.083425
newsisnotterror msm america script big gov't mass keep gobbl mindless deflateg hysteria wakeupcal,2,0.08595,0.08595,0.6562,0.08595,0.08595
video bill nye talk deflateg give fuck climat chang hold onto butt k ... url_,1,0.08704999999999999,0.6518,0.08704999999999999,0.08704999999999999,0.08704999999999999
mention_ mention_ no deflateg problem,0,0.6779999999999999,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.08050000000000002
alarmg shermang deflateg don call whole thing gatebowlnum2 url_,1,0.08707500000000001,0.6517,0.08707500000000001,0.08707500000000001,0.08707500000000001
funni austinmn mention_ deflateg url_,1,0.0,1.0,0.0,0.0,0.0
blow patriot deflateg twitter hate liter pumpupthepat url_,0,1.0,0.0,0.0,0.0,0.0
got ta love sass hilari mention_ thisiswhyilovey finesshmin deflateg,0,1.0,0.0,0.0,0.0,0.0
nation 's leader govern deflat ball deflateg ballghazi url_,1,0.0,1.0,0.0,0.0,0.0
petit go media fraud respons deflateg,0,0.6081,0.097975,0.097975,0.097975,0.097975
rt mention_ ball deflat deflateg tweetlikeafeminist,1,0.0,1.0,0.0,0.0,0.0
last night keyshawn johnson mention_ visit ascj speak deflateg among topic latergram url_,0,1.0,0.0,0.0,0.0,0.0
restaur promot tap deflateg controversi url_,0,0.6371,0.090725,0.090725,0.090725,0.090725
num2 thing need know abt mention_ xlix not relat deflateg url_ sbnum2 nevssea,0,1.0,0.0,0.0,0.0,0.0
rt mention_ nfl offici consult patriot organ way deflat marshawn lynch 's ego deflateg mention_,0,0.6609999999999999,0.08475000000000002,0.08475000000000002,0.08475000000000002,0.08475000000000002
mention_ mention_ correct differ initi condit would explain differ end result deflateg,0,1.0,0.0,0.0,0.0,0.0
upload new track talk back live super bowl xlix preview mention_ deflateg marshawnlynch url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ noth perform deflat mention_ sbnum2 deflateg url_,1,0.0887,0.6452,0.0887,0.0887,0.0887
rt mention_ deflateg chang opinion bradi player person,0,1.0,0.0,0.0,0.0,0.0
repost mention_ || free merch sbnum2 deflateg lakewoodoh cle cleveland aeaeaetag friend url_,0,0.6833,0.079175,0.079175,0.079175,0.079175
rt mention_ one librari blogger point out import issu footbal address deflateg url_,2,0.0,0.0,1.0,0.0,0.0
mention_ mention_ mention_ mention_ ur dumb shit chest win deflateg one not shit talk,0,0.6452,0.0887,0.0887,0.0887,0.0887
mention_ ball not pump enough deflateg,0,0.6779999999999999,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.08050000000000002
obnoxi richard sherman deflateg shut 'em pumpupthepat url_,2,0.0,0.0,1.0,0.0,0.0
truth behind deflateg -- url_,0,1.0,0.0,0.0,0.0,0.0
kati perri marshawn lynch deflateg joke url_ via mention_,1,0.0,1.0,0.0,0.0,0.0
rt mention_ seem like mention_ alway play deflat puck deflateg,1,0.079575,0.6817,0.079575,0.079575,0.079575
report broke deflateg say fan threaten url_,0,0.708,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001
kati perri say noth perform deflated. ... mention_ superbowlxlix deflateg url_,1,0.076925,0.6923,0.076925,0.076925,0.076925
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg num biggest scandal sport histori url_ via mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg get real ... chocolatey url_ not beat 'em eat 'em,1,0.0,1.0,0.0,0.0,0.0
temperatur outsid drop like psi deflateg ball footballjok nfl,1,0.07869999999999999,0.6852,0.07869999999999999,0.07869999999999999,0.07869999999999999
uimention_ insomniac rejoic not alon ilostsleepbecaus url_ upset deflateg,0,0.6607,0.08482500000000001,0.08482500000000001,0.08482500000000001,0.08482500000000001
kati perri 's press confer not get fine refer deflateg url_ via mention_,1,0.087975,0.6481,0.087975,0.087975,0.087975
mention_ lol ironi name air suppli play superbowl deflateg almost perfect word,1,0.0,1.0,0.0,0.0,0.0
nfl never record exact pressur footbal fail pressur test crazi stuff deflateg,0,0.7,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001
mention_ leagu 's integr question damn sure would front microphon talk deflateg,0,0.6605,0.084875,0.084875,0.084875,0.084875
rt mention_ kati perri not deflat deflateg,1,0.08332500000000001,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001
watch typic pittsburgh steeler fan dad react deflateg url_,0,0.6713,0.082175,0.082175,0.082175,0.082175
rt mention_ terrif analysi cheatriot fumbl rate show mayb deflateg goe back way url_,3,0.07339999999999999,0.07339999999999999,0.07339999999999999,0.7064,0.07339999999999999
mention_ mention_ mention_ mention_ love patriot fan debat ha deflateg cheater,3,0.081925,0.081925,0.081925,0.6723,0.081925
rt mention_ obama wear tan suit day coverag histor trip india oh let talk deflateg,2,0.08432500000000001,0.08432500000000001,0.6627,0.08432500000000001,0.08432500000000001
mention_ mention_ correct team ball lose pressur rate function temp deflateg,4,0.0,0.0,0.0,0.0,1.0
mention_ way go bulli mention_ speak still not talk deflateg hypocrit nfl sbnum2,0,1.0,0.0,0.0,0.0,0.0
rt mention_ import inflat tire inflat footbal deflateg sbnum2 url_ url_,2,0.08845,0.08845,0.6462,0.08845,0.08845
wwe wwe 's lanaww mikethemiz jclayfield advic patriot latest wweinbox url_ deflateg,0,0.6746,0.08135,0.08135,0.08135,0.08135
deflateg ref properli test footbal prior afc championship say dean blandino url_ url_,0,0.6364,0.09090000000000001,0.09090000000000001,0.09090000000000001,0.09090000000000001
video mention_ say not opinion deflateg ... url_,0,1.0,0.0,0.0,0.0,0.0
mention_ deflateg patriot url_,0,0.6609999999999999,0.08475000000000002,0.08475000000000002,0.08475000000000002,0.08475000000000002
mention_ shifti ball boy take sack ball done deflateg,2,0.08637500000000001,0.08637500000000001,0.6545,0.08637500000000001,0.08637500000000001
mention_ felger tri make discuss scientif physicist two show deflateg,0,1.0,0.0,0.0,0.0,0.0
kati perri lose left arm b no sign deflateg ... get coat url_,1,0.08035,0.6786,0.08035,0.08035,0.08035
much greater chanc patriot reprimand deflateg richard sherman miss sbxlix neither gon na happen,1,0.070525,0.7179,0.070525,0.070525,0.070525
bill nye mention_ screw deflateg give fuck climatechang instead url_ via mention_,2,0.0,0.0,1.0,0.0,0.0
rt mention_ share ahead write blog post physic guid t-p relationship deflateg url_,0,1.0,0.0,0.0,0.0,0.0
redskin rg3 not talk deflateg also spoke ankl injuri plagu num4 url_,0,0.6885,0.077875,0.077875,0.077875,0.077875
mention_ deflateg mention_ made major miscalcul ... not convert absolut pressur also not use pressur gaug,1,0.0,1.0,0.0,0.0,0.0
not find super bowl stori line excit ... lynch deflateg yawn,2,0.0,0.0,1.0,0.0,0.0
market 's deflateg market deflateg url_,0,1.0,0.0,0.0,0.0,0.0
well play pillsburi deflateg ad yahoo url_,0,0.6683,0.082925,0.082925,0.082925,0.082925
rt mention_ pump super bowl got someth say scam vid url_ gohawk deflateg ballu_,0,0.6626,0.08435000000000001,0.08435000000000001,0.08435000000000001,0.08435000000000001
prop bet deflateg sbxlix got mention_ mention_ mention_ url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ wake see mention_ nfl network godisr beauti deflateg,0,1.0,0.0,0.0,0.0,0.0
break news head offici dean blandino say sleeper hold inde legal tackl nfl deflateg superbowlxlix ballghazi,0,1.0,0.0,0.0,0.0,0.0
rt mention_ well done kati perri well done deflateg katyperri halftimeshow shotsfir url_,0,0.6828,0.07930000000000001,0.07930000000000001,0.07930000000000001,0.07930000000000001
bill nye scienc guy deflateg url_,0,1.0,0.0,0.0,0.0,0.0
former nfl qb jeff blake stupid deflateg url_,0,0.6746,0.08135,0.08135,0.08135,0.08135
win lose must alway cheat patriot deflateg,3,0.0,0.0,0.0,1.0,0.0
rt mention_ bill nye mention_ explain scienc behind deflateg url_ url_,0,1.0,0.0,0.0,0.0,0.0
psycholog behind deflateg especi true sport fan mention_ mention_ url_,0,0.6491,0.087725,0.087725,0.087725,0.087725
rt mention_ deflateg nutshel url_,0,0.6652,0.0837,0.0837,0.0837,0.0837
play devil 's advoc deflateg url_ url_,0,0.6481,0.087975,0.087975,0.087975,0.087975
rt mention_ break patriot locker room attend step forward accept respons deflateg url_,0,0.6779999999999999,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.08050000000000002
rt mention_ watchuo bill nye mention_ urg american uigiv f**ku climat chang instead deflateg url_,0,0.6393,0.090175,0.090175,0.090175,0.090175
rt mention_ no one benefit much deflat ball sinc barri bond deflateg,1,0.0802,0.6792,0.0802,0.0802,0.0802
