text,crowd_label,conf0,conf1,conf2
ron shelton appear understand two thing better contemporari film-mak sport kevin costner put sport movi hand almost director get feel bide time big climact game/fight/match put kevin costner hand almost director find thin-voic actor place uncomfort posit play command heroic two men join forc previous num4 's bull durham result one best funniest sport film ever probabl costner 's best perform ever casual charm costner re-born tin cup yet anoth superior shelton sport film overflow pleasur lot kevin costner basher out -- known one -- forgotten becam star film like bull durham field dream allow warm funni approach bad happen costner plenti director forgot tin cup remind costner best boyishli handsom equal boyish tempera much effortless fun play roy nearli imposs not fun like littl leagu player never out-grew littl leagu alway swing fenc alway eager pleas costner manag make immatur incred endear shelton given costner great charact work fashion great stori around charact bull durham authent detail minor leagu basebal easi overlook fact shelton made film not basebal play game love much could not imagin anyth els frustrat see player less love tim robbin nuke laloosh much talent roy 's problem understand well fan not watch profession sport see steadi hitter guy run precis receiv rout guy make free throw watch see home run hitter flashi runner num3 degre dunk make ron shelton sport movi better anyon els 's sport movi better understand way fan player think also know creat scene sing unexpect wit shelton also give actor subtli eccentr charact play tremend result leisur golf-lik pace tin cup prove troubl -- num3 minut mani dead spot rather unnecessari tangent involv roy 's stripper ex-girlfriend time tin cup end moment forgotten think smartli cleverli ron shelton write sport film good kevin costner mani sport might left collabor,1,0,1,2.1563955261E-20
star william sadler billi zane jada pinkett cch pounder dick miller voic john kassir director ernest dickerson produc gilbert adler screenplay ethan reiff cyru vori mark bishop cinematographi rick bota music ed shearmur danni elfman releas univers pictur made-for-hbo televis seri base defunct num4 comic book tale crypt share witti clever entertain episod true segment invari tend toward macabr els would expect someth sort titl demon knight tale crypt make jump big screen not stop pay tv run not subscrib hbo may first exposur crypt keeper galleri grotesqu stori frankli terribl introduct horror movi suppos scari -- least littl shock unfortun frighten thing demon knight univers chose releas film bad not funni not intellig lack everi qualiti make occasion episod tale crypt worth sit not much plot set gothic board hous bore hous prefer demon knight 's special effect passabl not said work done makeup artist blood gore variou ghastli wound look especi cheesi supposedly-horrifi demon reminisc cross spit imag puppet refuge alien movi occas pinkett zane almost make film worth watch two appear enjoy sens fun infecti not last long though energi enthusiasm not sustain sort mess sinc tale crypt half-hour program might reason expect motion pictur version string togeth three typic episod instead produc opt make single- stori featur noth els choic emphas lesson good entertain stretch three time natur length rare three time better bad entertain drag out long typic three time wors case demon knight -- probabl not ten minut worthwhil materi -- statement could regard infinit kind,0,0.9963104097579999,6.668973742709999e-128,0.0036895902424400003
contact like chang lot percept -- not role humankind univers special effect movi use servic stori rather way around contact rare big-budget motion pictur place idea charact plot everyth els film take rich astronom carl sagan 's bestsel num4 novel re-inv screen retain power fascin book ad visual aspect not disappoint devot fan contact close recent hollywood product come perfect exampl cinema element not place effect realiz kind motion pictur restor one 's faith produc larg budget use wise particip superl cast crew not alway guarante success case high expect met film direct co-produc robert zemecki whose last effort num4 's box offic smash forrest gump on-again/off-again amateur astronom one first thing notic film technic accuraci undoubtedli result sagan 's influenc detail correct least far abl determin none movi cop-out film maker occasion resort order lower intellig level script contact believ part not replac true scienc vagu term gobbledygook novel sagan care make everyth even farfetch part theoret feasibl although movi chang condens signific aspect origin materi remain true vision contact open unforgett sequenc take viewer tour univers start out familiar corner space earth fill screen amaz trip take sever minut presag wonder contact 's final half-hour hold viewer although contact right bill stori human 's first encount extraterrestri life form heart realli elli quest mean life word long rememb search reason -- elli 's trajectori place collis cours answer question develop charact resolut particular aspect stori make satisfi conclus end scienc fiction element becom subordin person one uniqu way contact offer littl bit almost everyth drama romanc suspens scienc fiction touch emot intellect gloriou special effect wonder act coupl impress pyrotechn display plot contain believ approach subject matter ever present movi forrest gump robert zemecki make excel use special effect standout sequenc take place deep space give us awe-inspir percept incred vast univers digit trickeri subtl obviou use occas well care edit clip clinton speech use littl creativ dub zemecki make seem like presid directli address specif situat aris cours contact cast strong tom skerritt jame wood take could one-dimension charact develop someth not exactli sympath understand viewpoint star film jodi foster bring consider abil part elli infus charact passion intellig courag foster deserv anoth oscar nomin work instead differ way movi recal best scienc fiction film fact contact stand level mani classic one definit great movi contact fall short area inabl fulli develop mani subplot given time limit medium run length alreadi num num2 understand one num4 's finest motion pictur forc remind hollywood still capabl make magic far filmmak process concern star essenti worthless absolut essenti -- william goldman,1,0,1,7.03805843213E-75
neon bibl innov film terenc davi acclaim distant voic still live neon bibl highli confus narr much technic brillianc underneath hard pictur describ sinc collag imag boy 's past movi shown flashback act passabl rowland best lot averag scarwid top not believ biggest problem tierney approach charact david detach rare wast time show emot yet david 's life see would expect anim quit bore perform mani scene littl no dialog sort show stare long time tri figur out show go not know show length actual thought end half hour one hour show pictur begin make sens never come togeth end found think mess yet mani magic special part disappoint movi let us not wast time wrong neon bibl technic aspect special better film could spectacular let cite three exampl second scene transit frequent start high like star move slowli scene like memori might start subconsci slowli form editor charl ree deserv credit magic transit press kit davi discuss look film especi like nehi drink sign store could get one nickel fifteen cent could hamburg dialog good line use say school 'you think could not town think father thought everybodi thought happi someday writer describ south era not feel oblig includ ku klux klan scene one grew south time never saw kkk ralli entir life not know anybodi ever ye happen fairli rare writer not feel oblig includ especi scene superflu stori neon bibl run num num2 not believ film rate no sex nuditi bad languag rememb mild amount violenc except singl brief violent scene would probabl get pg rate stand think pg-num2 materi show bore kid kid say num num abl watch sat mouth agap show certainli not recommend technic brillianc give one top film year must see film excel show look averag movi kind enjoy poor show not wast money num one worst film year total unbear review written june num2 num4 opinion express mine not meant reflect employ 's,2,0.250293246812,1.9611101382299997e-39,0.7497067531880001
still pig still human vacuum cleaner ye two decad origin odd coupl walter matthau oscar jack lemmon felix back odd coupl ii seen last better last year 's out sea two old trooper real-lif buddi clearli enjoy everi minut time togeth joy work infecti pictur recycl joke becom enjoy right matthau get verbal humor lemmon physic line lame would fall flat deliv comedian even matthau troubl limp materi felix lemmon annoy repetit bad throat joke much fun fingernail scrape blackboard two togeth feel like ad lib movi realli start click movi 's best visual hitch ride rich elderli gentleman antiqu car goe slow jogger even fast walker easili pass scene 's end could consid poor tast work context stori life job dinner alon tv show felix say explain oscar enjoy adventur despit disast audienc share vicari silli littl episod rate pg-num2 brief strong languag would fine kid around ten,2,0.0012783757268299998,0.00713564966648,0.991585974607
third outing bond roger moor becom total comfort role put relax style part dark blue doubl breast tuxedo fit perfectli seem worn bond role sinc birth no end bond 's skill q come alway time unlik gadget killer tea tray noth less armageddon -- not confus come summer 's blockbust movi armageddon bruce willi save planet continu grand bond tradit much movi film exot local time amid alabaster-color stone sphinx massiv egyptian monument well surround desert movi 's theme song well bond 's famou theme add music pleasur experi remind us anoth great film set desert num3 xxx head off walk wilder theme lawrenc arabia come loudli although barbara bach 's act xxx may make yearn tougher femal lead like honor blackman goldfing 's pussi galor appreci bach 's grace beauti especi seduct low-cut tight-fit gown reassur barbara bach certainli someon whose bodi look like may gener consider heat bond drive car off pier push button neatli retract wheel turn sub one look like might featur neiman marcu christma catalog superrich ingenu one hallmark bond film one way jame figur way impregn control room quit imagin anoth variat tradit bond end hero heroin end conveni float circular bed white cushion properli chill bottl num4 dom perignon intern spi reward -- men women alik spi love run num num2 rate pg sexual innuendo comic violenc would fine kid around nine son jeffrey almost num like although prefer moor 's previou bond film man golden gun not like charact jaw one undefeat,2,1.3806867101E-30,0.052055175518699995,0.947944824481
inauspici begin doom mani film first time director jeb stuart 's switchback switchback open classic a-stranger-is-in-the-hous scene popular slasher movi cheap thriller make sure hook audienc stuart wrote script switchback well much better film fugit care includ child endanger aspect open quaid frequent troubl demonstr much dynam rang actor approach role film singl purpos ters elocut border parodi absent perform director adept stage scene movi would much better support cast almost carri show bob goodal car 's owner decor everi inch automobil pictur nake women -- even seat belt cover one learn film calib never discount minor charact even one not yet seen killer switchback run long num num2 rate r violenc profan pinup pictur film would fine teenag,2,0.059099966981699996,1.14352316165E-39,0.940900033018
iranian film prepar come persian new year movi told almost real time start one half hour begin new year peopl teheran frenzi make sure everyth readi excit air point show guilt began could not like show tri hard clearli director jafar panahi best craft sweet littl slice life piec gotten girl no screen presenc much fun listen someon scrape finger blackboard play role littl girl everyon wish would go away could suppos charm lead charact aida mohammadkhani play razieh unsympathet charact oh well though mother sweet brother not bad perhap flaw albeit larg one miscast lead soon find anoth aspect stori infuri aida mohammadkhani 's perform name show sound said ahmadl mojtaba mortazavi rare sound becom big detract white balloon strive authent guess director background sound frequent drown out actor loud music one thing audienc endur cacophoni obnoxi traffic nois radio talk show blast out hidden boom box irritatingli off screen peopl especi unseen older brother insid hous yell peopl made want escap theater go sit peac spot give ear rest not pleasant time script abba kiarostami minimalist need rewrit left stori work not sole base intrins charm lead charact good show mohsen kafili fereshteh sadr orfani deliv nice perform music quit pleasant give produc kurosh mazkouri lot credit attempt sweet littl tale bad execut flaw critic noth wors give thumb someth want desper like not oh much easier err side grade inflat give movi thumb potenti gener plethora complain letter rang polit disagr diatrib overprais movi get silenc confess not like forest gump burnt sun birdcag got wide rang letter peopl claim prove stupid not like movi sinc rest known world like end argument somerset maugham said peopl ask critic want prais white balloon run num num2 feel lot longer farsi english subtitl no mpaa rate would probabl g show would fine kid age suspect bore not recommend attempt sweet littl tale give film num/num tri hard coupl decent perform mother younger brother actual fear get softheart num/num may gener one top film year must see film excel show look averag movi kind enjoy poor show not wast money num one worst film year total unbear opinion express mine not meant reflect employ 's,0,0.99935077953,2.254893706729999e-108,0.000649220469798
show rich tapestri subject contrast opinion know man best part word georg would not expect drive ku klux klan ralli perhap best part film lack conclus one side view republican issu introduc ponder film not attempt lead viewer particular point view script reggi rock bythewood seem happi abl bring subject spike lee movi lot music sing washington journey start off full high energi fun even obligatori fistfight could done without come line alway heard dalla finest honey planet see natur male behavior whether singl marri argu fellow men tell men like women would not want littl someth side film mani peopl easi lose track show talkfest head no place particular meander show toward finish take dramat unexpect turn quit well done spike lee throw sever extra end redund one seriou problem show print elliot davi 's cinematographi major color problem two long sequenc one last ten minut color far off would refus pay process lab film understand not problem print saw gener problem artifact rush show theater time march 's anniversari film critic see lot low budget pictur includ one everyth financ filmmak 's visa card none sever color problem like pictur studio asham let out shape rate r bad languag no sex nuditi violenc film would fine teenag recommend pictur give num/num one top film year must see film excel show look averag movi kind enjoy poor show not wast money num one worst film year total unbear opinion express mine not meant reflect employ 's,2,0.0260566039525,7.531478929279998e-87,0.973943396048
full marvel creativ color imag energet music movi repres extend rock video approach filmmak imag casual confusingli assembl music montag la mtv fairi tale sprinkl stori quickli shake off pixi dust move back tradit storylin movi skip back time examin brian 's life movi make much bisexu orgi groupi common complet opposit curt exud raw masculin like noth better take off cloth stage shock fan curt wear tight-fit jean without shirt wherea effemin brian favor long flow gown bright psychedel color film period develop pretenti streak attempt find mean subject implic moral unimport star develop suffici fame energet film full good music even mahler 's 6th make sever appear come grind halt last half hour decid get seriou color rock video film succeed dialog storylin mere distract even limit motion pictur least velvet goldmin exceedingli picturesqu rate r strong sexual content nuditi profan drug usag would unaccept teenag,0,0.7786499632449999,1.08691618467E-38,0.221350036755
