text_id,gold_label,MV_label,MVconf0,MVconf1,MVconf2
0,2,2,0.2,0.2,0.6
1,1,2,0.0,0.4,0.6
2,1,1,0.0,0.8,0.2
3,0,0,0.75,0.0,0.25
4,2,0,0.6,0.0,0.4
5,1,1,0.0,1.0,0.0
6,2,2,0.2,0.2,0.6
7,2,2,0.0,0.4,0.6
8,1,2,0.0,0.4,0.6
9,2,2,0.2,0.0,0.8
10,2,0,0.6,0.2,0.2
11,2,2,0.2,0.0,0.8
12,2,2,0.0,0.4,0.6
13,2,2,0.2,0.0,0.8
14,2,2,0.2,0.4,0.4
15,1,1,0.2,0.6,0.2
16,2,2,0.0,0.2,0.8
17,2,2,0.0,0.2,0.8
18,2,0,0.4,0.2,0.4
19,0,0,1.0,0.0,0.0
20,1,2,0.0,0.4,0.6
21,1,1,0.0,1.0,0.0
22,2,2,0.0,0.4,0.6
23,1,2,0.2,0.4,0.4
24,2,2,0.0,0.0,1.0
25,1,2,0.0,0.2,0.8
26,2,2,0.2,0.4,0.4
27,0,0,0.6,0.2,0.2
28,1,1,0.0,1.0,0.0
29,1,1,0.0,1.0,0.0
30,1,1,0.0,0.6,0.4
31,0,0,0.8,0.2,0.0
32,1,1,0.0,0.8,0.2
33,1,1,0.0,0.6,0.4
34,2,2,0.2,0.2,0.6
35,2,0,0.4,0.2,0.4
36,2,2,0.0,0.0,1.0
37,0,0,0.8,0.2,0.0
38,1,1,0.0,1.0,0.0
39,2,2,0.0,0.2,0.8
40,1,2,0.0,0.4,0.6
41,2,2,0.0,0.2,0.8
42,2,2,0.0,0.0,1.0
43,1,2,0.0,0.2,0.8
44,2,2,0.0,0.2,0.8
45,1,1,0.0,0.8,0.2
46,1,1,0.0,1.0,0.0
47,2,2,0.0,0.4,0.6
48,2,2,0.0,0.2,0.8
49,2,2,0.0,0.2,0.8
50,0,2,0.4,0.0,0.6
51,2,2,0.2,0.2,0.6
52,2,2,0.0,0.2,0.8
53,2,0,0.4,0.2,0.4
54,1,1,0.0,0.6,0.4
55,2,0,0.8,0.0,0.2
56,2,2,0.0,0.25,0.75
57,2,2,0.2,0.2,0.6
58,0,0,1.0,0.0,0.0
59,0,0,0.6,0.2,0.2
60,2,2,0.2,0.4,0.4
61,2,2,0.0,0.2,0.8
62,2,2,0.0,0.4,0.6
63,1,2,0.0,0.2,0.8
64,2,2,0.0,0.25,0.75
65,2,2,0.2,0.0,0.8
66,2,2,0.2,0.2,0.6
67,2,2,0.0,0.0,1.0
68,1,2,0.0,0.25,0.75
69,2,0,0.6,0.0,0.4
70,1,2,0.0,0.4,0.6
71,2,2,0.0,0.2,0.8
72,1,2,0.0,0.4,0.6
73,2,0,1.0,0.0,0.0
74,2,2,0.2,0.2,0.6
75,0,0,0.8,0.0,0.2
76,2,2,0.0,0.4,0.6
77,1,1,0.0,0.6,0.4
78,0,0,0.8,0.2,0.0
79,2,2,0.0,0.2,0.8
80,2,0,0.6,0.2,0.2
81,1,1,0.0,0.8,0.2
82,0,0,0.8,0.2,0.0
83,1,1,0.0,0.6,0.4
84,1,2,0.0,0.5,0.5
85,2,2,0.4,0.2,0.4
86,2,2,0.0,0.4,0.6
87,1,1,0.0,0.6,0.4
88,2,2,0.0,0.0,1.0
89,2,0,0.8,0.0,0.2
90,1,1,0.0,0.8,0.2
91,2,2,0.0,0.2,0.8
92,1,1,0.0,0.6,0.4
93,2,2,0.0,0.4,0.6
94,2,2,0.0,0.2,0.8
95,2,2,0.0,0.0,1.0
96,1,1,0.0,0.6,0.4
97,2,2,0.0,0.0,1.0
98,2,2,0.0,0.0,1.0
99,1,1,0.0,0.8,0.2
100,0,0,1.0,0.0,0.0
101,2,2,0.4,0.0,0.6
102,1,1,0.0,1.0,0.0
103,2,2,0.0,0.2,0.8
104,2,2,0.0,0.0,1.0
105,1,1,0.2,0.4,0.4
106,1,1,0.0,1.0,0.0
107,2,1,0.0,0.6,0.4
108,1,1,0.0,1.0,0.0
109,2,2,0.4,0.0,0.6
110,2,2,0.0,0.4,0.6
111,1,1,0.0,0.6,0.4
112,0,0,0.6,0.2,0.2
113,0,0,1.0,0.0,0.0
114,1,1,0.0,1.0,0.0
115,1,1,0.0,0.8,0.2
116,1,2,0.0,0.4,0.6
117,1,1,0.0,0.5,0.5
118,1,1,0.0,1.0,0.0
119,1,1,0.0,1.0,0.0
120,1,1,0.0,0.6,0.4
121,1,1,0.0,0.6,0.4
122,1,1,0.0,0.6,0.4
123,1,1,0.0,0.8,0.2
124,1,2,0.0,0.4,0.6
125,1,2,0.0,0.2,0.8
126,0,0,1.0,0.0,0.0
127,2,2,0.2,0.2,0.6
128,2,2,0.0,0.0,1.0
129,2,2,0.0,0.0,1.0
130,1,1,0.0,0.6,0.4
131,2,2,0.0,0.2,0.8
132,1,1,0.0,0.8,0.2
133,2,2,0.0,0.4,0.6
134,2,2,0.2,0.0,0.8
135,2,2,0.2,0.0,0.8
136,2,2,0.0,0.2,0.8
137,0,0,0.6,0.2,0.2
138,1,1,0.0,0.6,0.4
139,2,2,0.0,0.0,1.0
140,2,2,0.0,0.2,0.8
141,2,2,0.0,0.4,0.6
142,0,0,0.8,0.2,0.0
143,1,1,0.0,1.0,0.0
144,0,0,0.8,0.0,0.2
145,2,2,0.2,0.0,0.8
146,1,1,0.0,0.8,0.2
147,1,1,0.0,1.0,0.0
148,0,0,0.6,0.2,0.2
149,1,1,0.0,0.8,0.2
150,1,2,0.0,0.2,0.8
151,2,0,0.4,0.2,0.4
152,0,0,0.8,0.2,0.0
153,1,1,0.0,0.6,0.4
154,2,2,0.0,0.0,1.0
155,2,0,0.4,0.2,0.4
156,2,2,0.0,0.0,1.0
157,2,0,0.6,0.2,0.2
158,2,2,0.2,0.0,0.8
159,2,2,0.2,0.0,0.8
160,2,2,0.4,0.2,0.4
161,1,1,0.0,0.8,0.2
162,0,0,0.8,0.2,0.0
163,2,2,0.25,0.25,0.5
164,1,1,0.0,1.0,0.0
165,2,1,0.0,0.6,0.4
166,1,2,0.0,0.25,0.75
167,1,1,0.0,0.8,0.2
168,2,0,0.6,0.0,0.4
169,0,0,0.8,0.2,0.0
170,0,0,0.75,0.25,0.0
171,0,0,0.6,0.2,0.2
172,1,2,0.0,0.4,0.6
173,2,2,0.0,0.0,1.0
174,2,2,0.0,0.2,0.8
175,2,2,0.2,0.2,0.6
176,0,0,0.8,0.2,0.0
177,2,2,0.0,0.2,0.8
178,2,1,0.0,0.6,0.4
179,0,0,0.8,0.0,0.2
180,0,0,0.8,0.2,0.0
181,2,2,0.4,0.2,0.4
182,1,1,0.0,0.8,0.2
183,1,1,0.0,0.8,0.2
184,2,2,0.0,0.0,1.0
185,1,1,0.0,0.6,0.4
186,1,1,0.0,0.8,0.2
187,1,2,0.0,0.4,0.6
188,1,1,0.0,0.6,0.4
189,1,1,0.0,0.6,0.4
190,2,0,0.6,0.0,0.4
191,1,2,0.0,0.2,0.8
192,2,0,0.6,0.0,0.4
193,1,1,0.0,0.8,0.2
194,1,2,0.0,0.4,0.6
195,2,2,0.0,0.4,0.6
196,2,2,0.4,0.2,0.4
197,1,2,0.0,0.2,0.8
198,2,2,0.0,0.0,1.0
199,1,1,0.0,1.0,0.0
200,1,1,0.0,1.0,0.0
201,2,2,0.0,0.0,1.0
202,1,2,0.0,0.2,0.8
203,2,2,0.0,0.0,1.0
204,0,2,0.4,0.2,0.4
205,0,0,0.8,0.0,0.2
206,2,1,0.4,0.4,0.2
207,2,2,0.0,0.4,0.6
208,2,2,0.0,0.2,0.8
