question,worker,answer
0,4,0
0,12,5
0,18,0
0,21,2
0,31,0
1,12,1
1,18,1
1,21,2
2,4,1
2,18,0
3,15,0
3,18,1
3,31,1
4,4,0
4,18,0
5,4,0
5,18,0
6,4,0
6,14,6
6,18,0
7,4,0
7,12,0
7,18,0
8,4,0
8,15,0
8,18,0
8,21,2
9,18,0
9,31,2
10,18,0
10,31,2
10,32,0
11,12,0
11,15,0
11,18,0
11,31,2
12,18,0
12,27,5
12,32,2
13,12,5
13,18,0
14,12,0
14,18,0
14,31,2
15,18,0
15,31,0
16,4,7
16,15,0
16,18,7
16,37,0
17,12,0
17,18,0
17,31,2
18,4,0
18,12,0
18,15,0
18,18,0
19,12,0
19,18,0
20,4,7
20,18,0
21,18,1
21,31,2
22,15,0
22,18,0
22,31,0
23,14,2
23,18,0
23,31,0
24,18,0
25,4,0
25,12,2
25,18,0
25,31,5
26,18,0
26,21,0
26,31,2
27,4,0
27,18,0
27,21,0
28,4,0
28,15,0
28,18,0
28,31,2
29,12,1
29,15,0
29,18,0
29,21,2
30,12,2
30,18,2
30,21,2
31,15,0
31,18,2
31,21,2
31,31,2
32,18,7
32,31,2
33,12,7
33,15,0
33,18,7
33,31,7
34,12,0
34,18,0
35,12,0
35,18,0
36,4,0
36,18,0
36,31,0
37,18,0
37,21,0
38,4,0
38,18,0
38,31,0
39,4,0
39,18,2
40,12,7
40,15,5
40,18,3
40,32,6
41,4,4
41,12,6
41,18,7
41,31,0
42,12,1
42,18,0
43,4,4
43,12,1
43,18,0
44,18,1
44,21,1
45,18,0
45,31,5
45,37,1
46,18,0
46,31,2
47,12,0
47,18,0
47,27,1
47,31,2
47,37,1
48,12,1
48,18,2
48,31,0
49,4,1
49,18,1
49,31,2
50,12,0
50,18,0
50,31,0
51,4,0
51,12,0
51,18,0
51,31,0
52,4,0
52,18,0
52,21,0
53,4,0
53,18,0
53,21,0
54,15,2
54,18,0
54,21,4
54,31,0
55,18,0
55,21,0
55,31,2
56,4,0
56,18,0
56,21,0
57,12,0
57,15,2
57,18,1
57,31,2
58,4,0
58,15,0
58,18,0
58,31,0
59,12,0
59,15,0
59,18,0
59,31,0
60,12,0
60,18,0
60,31,0
61,18,0
61,31,2
62,4,0
62,18,0
62,31,2
63,4,1
63,18,0
63,31,0
64,18,0
64,31,0
64,37,0
65,4,0
65,12,0
65,18,0
65,31,2
66,4,0
66,18,0
66,21,0
67,18,0
67,31,2
68,15,1
68,18,0
68,37,0
69,14,2
69,18,0
70,18,0
70,31,0
71,4,0
71,12,0
71,18,0
71,31,2
72,18,0
72,21,1
72,31,0
73,4,1
73,18,1
74,12,1
74,18,0
74,37,5
75,18,4
75,31,5
76,18,0
76,31,0
77,18,0
77,31,2
78,12,0
78,18,0
79,18,0
79,31,2
80,18,5
80,21,3
81,18,0
81,31,2
82,18,0
82,31,5
83,18,0
83,21,0
84,12,0
84,18,0
84,21,2
84,31,4
85,12,0
85,18,0
86,12,4
86,18,4
86,31,2
87,18,4
87,31,2
88,12,1
88,18,1
88,31,2
89,18,1
89,21,4
90,4,0
90,18,4
90,21,0
91,18,0
91,21,0
91,31,2
92,4,4
92,12,1
92,18,2
93,12,1
93,15,6
93,18,0
94,18,0
94,21,1
94,31,0
95,12,2
95,18,0
95,31,2
96,4,4
96,18,0
96,31,2
97,18,0
97,21,0
97,31,0
98,14,6
98,18,0
98,31,0
99,12,0
99,15,2
99,18,0
100,18,0
100,31,0
101,15,1
101,18,0
101,31,0
102,4,1
102,12,4
102,18,4
103,18,4
103,21,0
103,31,2
104,14,2
104,18,0
105,12,0
105,18,1
105,31,0
106,18,1
106,21,0
106,37,2
107,12,0
107,14,5
107,18,2
107,21,5
108,18,4
108,31,1
109,12,2
109,14,5
109,18,0
110,18,4
110,31,0
111,18,4
111,31,1
112,4,4
112,18,4
113,18,2
113,21,5
114,12,1
114,14,0
114,18,0
114,31,5
115,18,1
115,21,1
116,12,2
116,14,2
116,18,0
117,4,1
117,18,0
117,31,0
118,15,2
118,18,0
118,27,1
118,31,2
119,4,1
119,18,0
119,21,1
120,4,1
120,18,1
120,31,0
121,1,1
121,4,1
121,10,2
121,32,1
122,12,5
122,15,0
122,16,0
122,18,2
123,1,1
123,4,1
123,12,1
123,18,1
123,32,1
124,18,0
124,27,0
124,32,0
125,4,1
125,18,2
125,27,5
125,30,1
126,15,0
126,18,0
127,1,1
127,18,1
127,32,1
128,1,0
128,4,0
128,27,0
128,32,0
129,2,0
129,4,1
129,12,0
129,15,0
130,18,0
130,30,0
130,31,2
131,4,1
131,18,1
131,29,1
131,30,1
131,32,0
132,4,0
132,18,0
132,23,0
132,32,0
133,15,0
133,18,0
133,30,0
133,31,0
134,4,0
134,12,0
134,18,0
134,32,0
135,4,0
135,12,0
135,18,0
135,32,0
136,1,1
136,12,0
136,18,1
136,30,1
137,1,0
137,2,0
137,4,0
137,18,0
137,23,2
138,2,0
138,18,0
138,31,5
139,4,0
139,12,1
139,18,0
140,4,0
140,12,0
140,18,0
140,32,0
141,4,0
141,15,0
141,18,0
141,27,0
142,1,1
142,18,1
142,32,0
143,1,0
143,12,0
143,15,2
143,18,0
143,31,0
144,2,0
144,4,1
144,18,0
144,30,1
145,4,1
145,12,1
145,16,0
145,18,0
146,4,1
146,18,1
146,30,0
146,32,1
147,4,1
147,10,2
147,15,1
147,18,1
147,32,2
148,4,1
148,18,0
148,32,2
149,12,0
149,18,1
150,4,4
150,27,4
150,32,4
151,12,4
151,18,4
151,31,0
151,32,4
152,4,4
