text,label,conf_pos,conf_neg
rt mention_ not catch full gopdeb last night scott 's best line num2 second walkernum2 url_,1,0.6333,0.3667
rt mention_ carli fiorina trend -- hour debat -- men just-complet gopdeb say u_,1,1.0,0.0
rt mention_ gopdeb w/ mention_ deliv highest rate histori presidenti debat trumpnum4 url_,1,0.7045,0.2955
rt mention_ mention_ first day rescind everi illeg execut action taken barack obama gopdeb mention_,1,0.6332,0.3668
rt mention_ like happi heard go moder not anymor gopdeb mention_ url_,0,0.32389999999999997,0.6761
deer headlight rt mention_ ben carson may brain surgeon perform lobotomi gopdeb,0,0.31110000000000004,0.6889
rt mention_ last night 's debat prove gopdeb batsask mention_ tbat url_,0,0.32220000000000004,0.6778
mention_ mention_ fair billclinton own phrase. gopdeb,0,0.0,1.0
rt mention_ woke tweet out gopdeb best line night via mention_ url_,1,1.0,0.0
read famili 's comment great gopdeb url_,0,0.3043,0.6957
rt mention_ love scott walker mark harmon 's romant rival summer school look gopdeb,1,1.0,0.0
hey mention_ exploit tragedi num/num2 polit gain mention_ thing gopdeb,0,0.0,1.0
rt mention_ donaldtrump fire comment women mention_ mention_ mention_ mention_ weigh gopdeb url_,0,0.37360000000000004,0.6264
rt mention_ guess speak time gopdeb mention_ moder num2num time url_,0,0.33709999999999996,0.6629
reason comment funni 'in case ignor gop tcot reason govern not work peopl gopdeb,0,0.0,1.0
rt mention_ huckabe pay transgend surgeri soldier sailor airmen not make countri safer ha gopdeb,0,0.33309999999999995,0.6669
rt mention_ cruz class truth get vote gopdeb,1,1.0,0.0
rt mention_ rt uimention_ gopdeb still clown show glad head clown trump help destroy gop url_,0,0.6489,0.35109999999999997
rt mention_ no *i* hate plan parenthood women no hate plan parenthood women gopdeb,0,0.0,1.0
rt mention_ fox news tri convinc us young black american worri isi polic terror gopdeb url_,0,0.30110000000000003,0.6989
gopdeb rank worst perform rubio kasich christi bush trump cruz walker paul huckabe carson,0,0.0,1.0
rt mention_ scott walker 's abort ban allow rapist father sue emot distress url_ gopdeb mention_,0,0.0,1.0
rt mention_ not competit move far gay right women 's right wors ever gu_,0,0.6598999999999999,0.34010000000000007
rt mention_ rt uimention_ gopdeb still clown show glad head clown trump help destroy gop url_,0,0.0,1.0
rt mention_ watch gopdeb bet feel like donat democrat right url_ url_,0,0.6705,0.3295
mention_ go need borrow train horn next gopdeb littl bell wimpi hornmeansyouredon,0,0.0,1.0
rt mention_ ted cruz gopdeb like ted cruz bed keep confusingli sad look face refus u_,0,0.35419999999999996,0.6458
rt winesdaypodcast updat foxnew tech failur gopdeb url_ url_,0,0.34240000000000004,0.6576
rt mention_ torch pass .mention_ no longer famou polit assassin congratul mention_ u wiu_,0,0.3607,0.6393
rt mention_ trump/carson ticket would win landslid ... mention_ mention_ mention_ republican potu trumpnum4 u_,0,0.6597999999999999,0.34020000000000006
rt mention_ jeb bush obama fault not brother obama not clean mess brother made gopdeb url_,0,0.0,1.0
rt mention_ fox news gopdeb primari voter none wiser polici plan folk put forth journal u_,0,0.0,1.0
rt mention_ trump cross shrug emoji presid busi lego movi gopdeb,0,0.34409999999999996,0.6559
rt mention_ meanwhil white hous ... gopdeb url_,0,0.34040000000000004,0.6596
rt mention_ pleas rt kkkorgop gopdeb url_,0,0.31310000000000004,0.6869
trump think critic misogynist remark polit correct problem nope pervas sexism problem gopdeb,0,0.0,1.0
rt mention_ gopdeb handl blacklivesmatt url_,0,0.3409,0.6591
uimention_ gopdeb w/ mention_ deliv highest rate histori presidenti debat trumpnum4 fox say thank,1,0.6353,0.3647
rt mention_ most-tweet mention_ gopdeb moment say purpos militari kill people/break thing tran servicememb,0,0.35419999999999996,0.6458
