text,label,conf0,conf1,conf2
barclay ceo stress import regulatori cultur reform financi servic brussel confer url_,0,1.0,0.0,0.0
barclay announc result right issu url_,0,1.0,0.0,0.0
barclay publish prospectu a5num8bn right issu url_,0,1.0,0.0,0.0
barclay group financ director chri luca step end week due ill health url_,0,1.0,0.0,0.0
barclay announc iren mcdermott brown appoint group human resourc director url_,0,1.0,0.0,0.0
barclay respons pra capit shortfal exercis url_,0,1.0,0.0,0.0
barclay sponsor zamynforum bbc world servic debat globalis part seri citizenship lectur url_,0,1.0,0.0,0.0
barclay today publish respons salz review independ report busi practic url_,0,1.0,0.0,0.0
read statement barclay ceo bonu award num4 url_,1,0.16265000000000002,0.6747,0.16265000000000002
num2 worker either look chang job appli highest figur record yet video url_,1,0.0,1.0,0.0
no longer one workforc five want employe benefit plan match video tell url_,1,0.0,1.0,0.0
uk entrepreneuri activ num4 glanc barclay mention_ entrepreneur index url_ url_,0,1.0,0.0,0.0
emma turner head client philanthropi provid short insight give catch latest blog chariti url_,1,0.0,1.0,0.0
... visit us mention_ num-num march workforc insight napf pension url_ url_,1,0.0,1.0,0.0
chill emergingmarket last littl longer develop market remain broadli posit url_,0,1.0,0.0,0.0
sinc num4 invest anum2num5m spacesforsport programm help young peopl develop life skill info url_,1,0.1683,0.6634,0.1683
barclay servic execut help feel secur financ find out ... servic url_,1,0.16125,0.6775,0.16125
jaim arguello examin whether num4 right time seek opportun emergingmarket url_,0,1.0,0.0,0.0
student year award island 's except young peopl proudli sponsor num2th consecut yrnumurl_,0,1.0,0.0,0.0
young peopl focu num local chariti award fund num4 barclay commun award event url_,0,1.0,0.0,0.0
delight rank best wealth manag social num4 myprivatebank report mention_ url_,0,1.0,0.0,0.0
barclay mention_ entrepreneursindex report launch mon look level entrepreneuri activ uk ireland,0,1.0,0.0,0.0
proud sponsor mention_ confer today lot thought provok content privat equiti industri url_,0,1.0,0.0,0.0
