text,label,conf0,conf1,conf2
rt mention_ everyon feel climat chang question last night exactli gopdeb,2,0.17109999999999997,0.17109999999999997,0.6578
rt mention_ not catch full gopdeb last night scott 's best line num2 second walkernum2 url_,1,0.18335,0.6333,0.18335
rt mention_ no mention tamir rice gopdeb held cleveland wow,2,0.16854999999999998,0.16854999999999998,0.6629
rt mention_ carli fiorina trend -- hour debat -- men just-complet gopdeb say u_,1,0.0,1.0,0.0
rt mention_ gopdeb w/ mention_ deliv highest rate histori presidenti debat trumpnum4 url_,1,0.14775,0.7045,0.14775
rt mention_ mention_ first day rescind everi illeg execut action taken barack obama gopdeb mention_,1,0.1834,0.6332,0.1834
rt mention_ like happi heard go moder not anymor gopdeb mention_ url_,0,0.6761,0.16194999999999998,0.16194999999999998
go msnbc live mention_ around num pm et gopdeb,2,0.0,0.0,1.0
deer headlight rt mention_ ben carson may brain surgeon perform lobotomi gopdeb,0,0.6889,0.15555000000000002,0.15555000000000002
rt mention_ last night 's debat prove gopdeb batsask mention_ tbat url_,0,0.6778,0.16110000000000002,0.16110000000000002
mention_ mention_ fair billclinton own phrase. gopdeb,0,1.0,0.0,0.0
rt mention_ woke tweet out gopdeb best line night via mention_ url_,1,0.0,1.0,0.0
read famili 's comment great gopdeb url_,0,0.6957,0.15215,0.15215
rt mention_ rt mention_ dear mention_ gopdeb notamistak url_,2,0.17895,0.17895,0.6421
rt mention_ love scott walker mark harmon 's romant rival summer school look gopdeb,1,0.0,1.0,0.0
hey mention_ exploit tragedi num/num2 polit gain mention_ thing gopdeb,0,1.0,0.0,0.0
rt mention_ donaldtrump fire comment women mention_ mention_ mention_ mention_ weigh gopdeb url_,0,0.6264,0.18680000000000002,0.18680000000000002
rt mention_ guess speak time gopdeb mention_ moder num2num time url_,0,0.6629,0.16854999999999998,0.16854999999999998
reason comment funni 'in case ignor gop tcot reason govern not work peopl gopdeb,0,1.0,0.0,0.0
rt mention_ huckabe pay transgend surgeri soldier sailor airmen not make countri safer ha gopdeb,0,0.6669,0.16654999999999998,0.16654999999999998
rt mention_ cruz class truth get vote gopdeb,1,0.0,1.0,0.0
rt mention_ no *i* hate plan parenthood women no hate plan parenthood women gopdeb,0,1.0,0.0,0.0
rt mention_ gopdeb vine mention_ url_,2,0.16494999999999999,0.16494999999999999,0.6701
rt mention_ fox news tri convinc us young black american worri isi polic terror gopdeb url_,0,0.6989,0.15055000000000002,0.15055000000000002
gopdeb rank worst perform rubio kasich christi bush trump cruz walker paul huckabe carson,0,1.0,0.0,0.0
rt mention_ scott walker 's abort ban allow rapist father sue emot distress url_ gopdeb mention_,0,1.0,0.0,0.0
rt mention_ rt uimention_ gopdeb still clown show glad head clown trump help destroy gop url_,0,1.0,0.0,0.0
rt mention_ ted cruz gopdeb like ted cruz bed keep confusingli sad look face refus u_,0,0.6458,0.17709999999999998,0.17709999999999998
first gopdeb social media reaction url_,2,0.16854999999999998,0.16854999999999998,0.6629
socialmedia first gopdeb social media reaction url_,2,0.0,0.0,1.0
