Unnamed: 0,text,label,conf_pos,conf_neg
0,rt mention_ not catch full gopdeb last night scott 's best line num2 second walkernum2 url_,1,0.6333,0.3667
1,rt mention_ carli fiorina trend -- hour debat -- men just-complet gopdeb say u_,1,1.0,0.0
2,rt mention_ gopdeb w/ mention_ deliv highest rate histori presidenti debat trumpnum4 url_,1,0.7045,0.2955
3,rt mention_ mention_ first day rescind everi illeg execut action taken barack obama gopdeb mention_,1,0.6332,0.3668
4,rt mention_ like happi heard go moder not anymor gopdeb mention_ url_,0,0.3239,0.6761
5,deer headlight rt mention_ ben carson may brain surgeon perform lobotomi gopdeb,0,0.31110000000000004,0.6889
6,rt mention_ last night 's debat prove gopdeb batsask mention_ tbat url_,0,0.32220000000000004,0.6778
7,mention_ mention_ fair billclinton own phrase. gopdeb,0,0.0,1.0
8,rt mention_ woke tweet out gopdeb best line night via mention_ url_,1,1.0,0.0
9,read famili 's comment great gopdeb url_,0,0.3043,0.6957
10,rt mention_ love scott walker mark harmon 's romant rival summer school look gopdeb,1,1.0,0.0
11,hey mention_ exploit tragedi num/num2 polit gain mention_ thing gopdeb,0,0.0,1.0
12,rt mention_ donaldtrump fire comment women mention_ mention_ mention_ mention_ weigh gopdeb url_,0,0.3736,0.6264
13,rt mention_ guess speak time gopdeb mention_ moder num2num time url_,0,0.3371,0.6629
14,reason comment funni 'in case ignor gop tcot reason govern not work peopl gopdeb,0,0.0,1.0
15,rt mention_ huckabe pay transgend surgeri soldier sailor airmen not make countri safer ha gopdeb,0,0.33309999999999995,0.6669
16,rt mention_ cruz class truth get vote gopdeb,1,1.0,0.0
18,rt mention_ no *i* hate plan parenthood women no hate plan parenthood women gopdeb,0,0.0,1.0
19,rt mention_ fox news tri convinc us young black american worri isi polic terror gopdeb url_,0,0.30110000000000003,0.6989
20,gopdeb rank worst perform rubio kasich christi bush trump cruz walker paul huckabe carson,0,0.0,1.0
21,rt mention_ scott walker 's abort ban allow rapist father sue emot distress url_ gopdeb mention_,0,0.0,1.0
23,rt mention_ rt uimention_ gopdeb still clown show glad head clown trump help destroy gop url_,0,0.0,1.0
25,mention_ go need borrow train horn next gopdeb littl bell wimpi hornmeansyouredon,0,0.0,1.0
26,rt mention_ ted cruz gopdeb like ted cruz bed keep confusingli sad look face refus u_,0,0.3542,0.6458
27,rt winesdaypodcast updat foxnew tech failur gopdeb url_ url_,0,0.34240000000000004,0.6576
28,rt mention_ torch pass .mention_ no longer famou polit assassin congratul mention_ u wiu_,0,0.3607,0.6393
30,rt mention_ jeb bush obama fault not brother obama not clean mess brother made gopdeb url_,0,0.0,1.0
31,rt mention_ fox news gopdeb primari voter none wiser polici plan folk put forth journal u_,0,0.0,1.0
32,rt mention_ trump cross shrug emoji presid busi lego movi gopdeb,0,0.3441,0.6559
33,rt mention_ meanwhil white hous ... gopdeb url_,0,0.34040000000000004,0.6596
34,rt mention_ pleas rt kkkorgop gopdeb url_,0,0.31310000000000004,0.6869
35,trump think critic misogynist remark polit correct problem nope pervas sexism problem gopdeb,0,0.0,1.0
36,rt mention_ gopdeb handl blacklivesmatt url_,0,0.3409,0.6591
37,uimention_ gopdeb w/ mention_ deliv highest rate histori presidenti debat trumpnum4 fox say thank,1,0.6353,0.3647
38,rt mention_ most-tweet mention_ gopdeb moment say purpos militari kill people/break thing tran servicememb,0,0.3542,0.6458
39,rt mention_ .mention_ big moment mention_ vs. mention_ mention_ reaction women question kellyfilu_,1,0.6397,0.3603
40,rt mention_ question hell women bodi part even debat foh stop not num4 wtf gopdebateu_,0,0.0,1.0
41,mention_ american get behead oversea mention_ worri whether mention_ call rosi o'donnel fat gopdeb,0,0.3367,0.6633
42,rt mention_ not defend mention_ far fair balanc last night name call juvenil gopdeb,0,0.3043,0.6957
43,rt mention_ non-christian gopdeb god question underlin littl anyon realli care religi minor chriu_,0,0.0,1.0
44,rt mention_ gopdeb respons blacklivesmatt pathet url_,0,0.0,1.0
45,rt mention_ .mention_ said cut fl tax num2b includ cut estat tax mandat feder law gopdeb htu_,0,0.3389,0.6611
46,rt mention_ dear gop want stop abort ... gopdeb url_,0,0.33330000000000004,0.6667
48,rt mention_ gopdeb close statement url_,0,0.3298,0.6702
49,rt mention_ statu _uoa singl broke mention_ last night goodby mention_ mention_ chri wallac gopdeb url_,0,0.0,1.0
50,rt mention_ gopdeb num2 focu grouper said favor view trump num saw posit url_,1,0.6693,0.3307
51,rt mention_ made first donat mention_ impress gopdeb perform fiorina url_,1,0.7065,0.2935
52,rt mention_ want stop send foreign aid place burn flag start berkeley gopdeb,0,0.0,1.0
54,rt mention_ say not worri trump never elect need rememb elect georg bush twice gopdeb url_,0,0.0,1.0
55,fox news gopdeb agenda promot carli never mention fire hp fiorina run trump out race url_,0,0.0,1.0
56,rt mention_ oh one thing anyon hear anyth afford child care work famili last night gopdeb iu_,0,0.33330000000000004,0.6667
57,rt mention_ rt mention_ dear mention_ gopdeb notamistak url_,0,0.33330000000000004,0.6667
59,countri 's go hell megyn kelli foxnew attack trump war women gopdeb,0,0.0,1.0
60,rt mention_ 1st gopdeb -- encourag see sever candid express faith god son jesu christ url_,1,0.6735,0.3265
61,rt mention_ donaldtrump said heua not uipolit correct.u cours trumpspeak uiletua face iuam huge asshole.u u_,0,0.3667,0.6333
62,rt mention_ messag gopdeb candid url_,0,0.382,0.618
63,rt mention_ worst episod apprentic ever seen gopdeb,0,0.0,1.0
64,rt mention_ purpos militari kill peopl break thing someth actual man run presid said u_,0,0.3761,0.6239
65,wonder could get republican parti pay liver transplant play mention_ gopdeb drink game last night,0,0.3789,0.6211
66,rt mention_ great way start friday carlyfiorina mention_ gopdeb url_,1,0.6667,0.33330000000000004
67,rt mention_ elect first day presid rescind everi illeg unconstitut execut order enact pre obau_,1,0.6977,0.3023
68,theyuar todd akin plan parenthood sting backfir republican gopdeb standwithpp url_,0,0.31110000000000004,0.6889
69,rt mention_ hey mention_ let republican digest gopdeb allow crazi mention_ trash gop mention_ url_,0,0.3371,0.6629
70,rt mention_ watch donald trump receiv enorm applaus horribl misogynist gopdeb answer url_ url_,0,0.0,1.0
71,even though super conserv report actual like megyn kelli 's interview style great gopdeb,1,0.6591,0.3409
72,rt mention_ gopdeb not debat seri num minut opportun avoid answer question one candidateu_,0,0.33330000000000004,0.6667
74,rt mention_ simpli incred url_ last night 's gopdeb doubl previou record most-watch primari debat iu_,1,1.0,0.0
75,rt mention_ liter could not true watch gopdeb got lousi hangov url_,0,0.0,1.0
76,rt mention_ haha littl saa mention_ morn toward mention_ factcheck gopdeb url_,0,0.33409999999999995,0.6659
77,rt mention_ peopl saw person vs saw tv gopdeb url_,0,0.0,1.0
78,rt mention_ marco rubio told face 'candid yesterday anti-gay bigotri url_ gopdeb htu_,0,0.3266,0.6734
79,rt mention_ none made trump look out place foolish yet think done cri think agaiu_,0,0.3736,0.6264
80,great time watch gopdeb last night url_,1,1.0,0.0
81,rt mention_ gopdeb donald trump say not time polit correct call women fat pig save u_,0,0.0,1.0
82,rt mention_ mention_ one peopl tv might next one rip everyth gopdeb url_,0,0.0,1.0
83,rt mention_ mention_ web stream mobil app fail gopdebateu u_ not surpris url_,0,0.0,1.0
84,rt mention_ john kasich help ohioan creat num3 num3 new job america gopdeb url_,1,1.0,0.0
86,trump said mention_ true gentleman start violent num2 gopdeb,0,0.3118,0.6882
87,rt mention_ ugh guy ever shut much respect women gopdeb,0,0.0,1.0
88,rt mention_ gopdeb teach us futur presid trump america probabl wonuat safe except weuar attack u_,0,0.0,1.0
89,rt mention_ go long tire elect season shockingli ill-inform candid gopdeb url_,0,0.0,1.0
90,rt mention_ scott walker not even carri state gopdeb,0,0.0,1.0
91,rt mention_ black peopl need anymor indic republican hate us peep gopdeb url_,0,0.0,1.0
92,rt mention_ sure god told run tooth fairi agre teletubbi vote ye gopdeb,0,0.0,1.0
93,rt mention_ trump told megyn kelli go hell foxnew gopdeb,0,0.3295,0.6705
94,rt mention_ caller rush limbaugh show lost respect fox news foxnew gopdeb,0,0.0,1.0
95,rt mention_ mention_ mention_ mention_ behaviour gopdeb astonishingli bias,0,0.32920000000000005,0.6708
97,rt mention_ huh half clinton 's chariti went tonumth clinton url_ copolit hillarynum4 stophillari unitebu_,0,0.3068,0.6932
98,rt mention_ gopdeb order take out trump wonder fox news one took order serious mention_,0,0.3108,0.6892
99,rt mention_ owe mention_ huge thank num expos world_uoamention_ chri wallac mention_ true rhino u_,0,0.3451,0.6549
100,rt mention_ scott walker lie say wi budget num3m surplu actual numnum2b deficit url_ gopdeb url_,0,0.3605,0.6395
102,rt mention_ fox news gopdeb interview candid take gop talk point feed,0,0.0,1.0
103,rt mention_ murder black ppl fine- not unborn black babi goplog gopdeb,0,0.34540000000000004,0.6546
104,rt mention_ chri christi realli stand out gopdeb,1,1.0,0.0
106,not pro-lif watch num hour abort last night gopdeb forkedtongu iseeorangepeopl,0,0.0,1.0
107,rt mention_ .mention_ fail american peopl tonight tri make histori destroy mention_ kellyfaiu_,0,0.0,1.0
108,rt mention_ btw ... mix polit religion get polit gopdeb,0,0.0,1.0
110,mention_ mention_ mention_ wtf chri wallac attack trumpnum4 bankruptci give rubio softbal gopdeb,0,0.0,1.0
112,rt mention_ honestli donald trump type petti last night 's gopdeb _uo -- url_ url_,0,0.3738,0.6262
113,rt mention_ republican dope say take us back num4 'day one never see one day white hous gopdebateu_,0,0.2967,0.7033
114,trump gloat abt buy gop+dem pol bid num4 billionair caricatur myacash gopdeb url_,0,0.3571,0.6429
117,rt mention_ best moment gopdeb last night rand tell christi go get anoth hug obama,1,1.0,0.0
118,rt mention_ miss either gopdeb need know no struggl american unlimit war,0,0.0,1.0
121,rt mention_ mention_ fight back against abt immigr q. say border porou must fix first u_,1,0.6923,0.3077
122,summari gopdeb statu quo shit show,0,0.0,1.0
123,rt mention_ debbi block tweeter question dem debat schedul url_ gopdeb mention_ url_,0,0.32709999999999995,0.6729
124,rt mention_ hey look itua num2 men stand stage argu get control womenua bodi choic gopdeb,0,0.3217,0.6783
125,rt mention_ last night gopdeb saw bunch rich old despot zero solut nation problem unu_,0,0.0,1.0
126,rt mention_ think peopl qualifi ... unfollow gopdeb,0,0.0,1.0
127,real illeg alien- gopdeb farrakhan immigr mexican bor ... url_ via mention_,0,0.3656,0.6344
128,gopdeb talk head put debat talk head tell us debat went mayb wast time watch,0,0.33330000000000004,0.6667
129,trump right mention_ realli need studi matthew num vers num-num gopdeb url_,1,0.6374,0.3626
130,rt mention_ think women sleep curs shed open field not properti u_,0,0.32820000000000005,0.6718
132,rt mention_ cheer gopdeb audienc aftertrump defiantli name mention_ woman call fat pig voic u_,0,0.0,1.0
133,blackliv not matter appar republican candid presid url_ mention_ uniteblu gopdeb,0,0.0,1.0
134,overal main thing learn gopdeb straight white men matter,0,0.0,1.0
135,mention_ thought mention_ best post gopdeb interview night gave chanc 2straighten posit,1,0.6629,0.3371
137,mention_ mention_ chriswallac america critic ur perform gopdeb b/c u realli bad job moder,0,0.0,1.0
138,uimention_ luntz line go almost reach num3 almost never happen dial research gopdeb rig,0,0.0,1.0
139,rt mention_ wish could teach teenag girl love much donald trump love gopdeb,0,0.0,1.0
140,rt mention_ conserv peopl without network gopdeb mention_,0,0.0,1.0
141,rt mention_ come no talk climat chang anyon even seen california right gopdeb debatewithberni,0,0.0,1.0
142,rt mention_ last night could rais hand spoil billionair oligarch racist religiu_,0,0.0,1.0
143,gopdeb num4 teamdrbencarson mention_ wow brilliant cool calm collected. empow,1,1.0,0.0
144,rt mention_ no circumst num2 men dictat abort right women num2st centuri better thatnumu_,0,0.3371,0.6629
145,rt mention_ gopdeb winner drudg num2 num3k mention_ time num2 num2k mention_ foxsd num2 mention_ url_,1,0.7049,0.29510000000000003
146,rt mention_ .mention_ num4 chide mention_ go object moder activ particip gopdeb url_,0,0.30610000000000004,0.6939
147,gopdeb mention_ mention_ innum4 call mention_ two time slut stand statement,0,0.3656,0.6344
148,rt mention_ never watch kellyfil num gopdeb question num pander mention_ num make rate not_uanum2_uau url_,0,0.0,1.0
149,imho gopdeb winner marcorubio kasich donaldtrump loser scottwalk randpaul bencarson other complet forgett,1,0.6562,0.3438
151,rt mention_ challeng teacher 's union beat way go uo jeb url_ gopdeb,0,0.3348,0.6652
152,mention_ real war women mention_ mention_ mention_ gopdeb mention_,0,0.3095,0.6905
153,rt mention_ trump vs. fox news conflict quit conundrum itua like personif greed vs. hate rootu_,0,0.30589999999999995,0.6941
154,rt mention_ know extraordinari nation gopdeb,1,0.6742,0.3258
155,rt mention_ meanwhil white hous ... gopdeb url_,0,0.3034,0.6966
156,rubio still prefer see point critic opportun inconsist gopdeb,1,0.6495,0.35050000000000003
158,rt mention_ fire .mention_ fire debat perform url_ gopdeb perrynum4,1,0.6818,0.31820000000000004
159,rt mention_ mention_ get lot mention_ hatemail tonight _u gopdeb total overr angri sheu_,0,0.0,1.0
160,liter could not true watch gopdeb got lousi hangov url_ mention_,0,0.33330000000000004,0.6667
162,rt mention_ not singl question last night 's gopdeb urgent issu time climat chang,0,0.0,1.0
163,gopdeb foxnew gotcha question seem design elicit typic polit spin respons tlot,0,0.3218,0.6782
164,gopdeb promis made startup tech confer seem quit reason,1,1.0,0.0
165,rt mention_ mention_ mention_ mention_ mention_ amen trumpnum4 wakeupamerica gopdeb tcot stoprush url_,0,0.3682,0.6318
166,rt mention_ watch donald trump bandwagon pass tlot tcot gopdeb url_,0,0.30589999999999995,0.6941
167,rt mention_ gopdeb began not moder say num million ppl discuss racial issu happen thosu_,0,0.3295,0.6705
168,rt mention_ noth like listen ten dude never need abort talk whether right u_,0,0.0,1.0
169,rt mention_ fox silenc koch billion not singl question last night 's gopdeb climatechang denier mondu_,0,0.0,1.0
170,rt mention_ republican rich not care poverti america definit not care bout poverti blau_,0,0.33330000000000004,0.6667
172,rt mention_ ted cruz attack republican gopdeb,0,0.0,1.0
173,rt mention_ icymi not no hell no irand gopdeb perrynum4 tcot url_,0,0.3226,0.6774
174,rt mention_ donald trump win elect know biff-stole-the-almanac timelin gopdeb,0,0.0,1.0
175,rt mention_ chri christi said work two year retiring.and get ten thousand less paidu_,0,0.3298,0.6702
176,rt mention_ john kasich readi lead join team clair url_ gopdeb url_,1,0.6629999999999999,0.3370000000000001
177,rt mention_ biggest loser debat fox moder attack instead moder gopdeb,0,0.0,1.0
178,rt mention_ trump yet give singl evidence-bas answer direct question polici frighten gopdebu_,0,0.0,1.0
179,rt mention_ honestli think sometim guy forgot came womb kkkorgop gopdeb url_,0,0.32220000000000004,0.6778
180,rt mention_ women shame women abort deserv shame no soul self respect plannedparenu_,0,0.0,1.0
182,rt mention_ rich wage war poor die jean-paul sartr gop foreign polici gopdeb,0,0.0,1.0
183,gopdeb saw candid complet miss mark race blacklivesmatt url_ url_,0,0.31110000000000004,0.6889
184,rt mention_ s/o gop proud defeat teacher union even though want higher wage gopdeb,0,0.0,1.0
185,mention_ mention_ got right gopdeb,0,0.3723,0.6277
186,rt mention_ trump said u.s. stupid let us vote presid wtf peopl gopdeb,0,0.0,1.0
187,excit mention_ gopdeb kasich4u republicandeb kasichnum4 wait num2 year,1,1.0,0.0
188,hey look feel donald trump sum one gif gopdeb url_,0,0.0,1.0
189,rt mention_ marco rubio briefli back immigr reform privat berat dreamer url_ gopdeb url_,0,0.3659,0.6341
190,rt mention_ uii french-kiss jesu christ u everi candid gopdeb,0,0.3582,0.6418
191,gopdeb closingstat mention_ honest u def talk mention_ coz steal ur schtick,0,0.3256,0.6744
192,cnn msnbc new york time prais fox moder know moder fuck gopdeb,0,0.0,1.0
193,rt mention_ trump lunat gopdeb,0,0.0,1.0
194,cruz class truth get vote gopdeb,1,1.0,0.0
195,rt mention_ assclown reason anyon even talk illeg immigr keep dig donald gopdeb,0,0.3854,0.6146
196,rt mention_ tom hank final somebodi make sens gopdeb debatewithberni,1,0.6395,0.3605
197,rt mention_ olivia pope would not vote guy gopdeb,0,0.29090000000000005,0.7091
198,gop candid want reduc tax huckabe want legal prostitut drug tax gopdeb,0,0.32620000000000005,0.6738
199,rt mention_ hi fox panel ask donald everi singl question hand shovel keep dig u_,0,0.0,1.0
200,gopdeb trump break record not polish politician make love even url_,1,0.6495,0.35050000000000003
201,rt mention_ oh movi trailer gopdeb debatewithberni,0,0.3299,0.6701
203,trump accessori women wear shoe gopdeb url_,0,0.0,1.0
204,donald trump absolut nut entertain lol gopdeb,0,0.0,1.0
205,mention_ top gop pundit pick gopdeb winner url_ url_ winner ... fox news loser ... usa,0,0.3297,0.6703
206,rt mention_ candid went mention_ num2 time gopdebate-but remain silent issu affect us url_,0,0.0,1.0
207,rt mention_ .mention_ tri 2show mention_ w mention_ tri 2take tri 2destroy not happen kellyu_,0,0.29610000000000003,0.7039
209,give e big ego gopdeb 's earn excel rhyme rump,0,0.0,1.0
210,passion gopdeb religiousupamovi,1,0.6552,0.3448
211,rt mention_ mention_ got best review deserv read nreditori recap gopdeb -- url_,1,0.6629,0.3371
212,rt mention_ brutal question assclown megan kelli lesson care tweet twitter gopdeb,1,0.6819,0.31810000000000005
213,trump chang mind support partial birth abort friend chang mind abort great kid gopdeb,0,0.0,1.0
214,best close statement mention_ gopdeb,1,1.0,0.0
215,rt mention_ stop worri love start worri respect tellingitlik gopdeb url_,1,0.7021,0.29790000000000005
216,rt mention_ trump sycoph want know mention_ hidden agenda last night answer simpl call vaginu_,0,0.3647,0.6353
217,donald trump realli nasti piec work hope disappear quickli gopdeb,0,0.3736,0.6264
218,rt mention_ fetus not unborn babi cluster cell stop shame peopl want/hav abort gopdeb,0,0.0,1.0
219,rt mention_ far away best tweet last night debatewithberni gopdeb url_,1,0.6774,0.3226
220,rt mention_ despit huckabe say alway make sure prostitut pimp pay fica pension gopdeb,0,0.0,1.0
221,mention_ great challeng candid gopdeb candid not handl tough question could never b potu,1,0.6629,0.3371
222,rt mention_ iuad say opposit megan kelli act like sjw tumblr whine femin sad gopdeb url_,0,0.0,1.0
224,number time ronald reagan mention gopdeb damn high,0,0.0,1.0
225,rt mention_ trump against pnumc cultur suddenli num3 not even kid howl shit-cav human gopu_,0,0.0,1.0
226,rt mention_ bencarson great close oper brain not worri skin color gopdeb,1,1.0,0.0
227,rt mention_ women would offend trump misogyni certainli not vote republican find new fake issu faux news u_,0,0.34619999999999995,0.6538
